ibge_code,city,latitude,longitude
2306405,Itapipoca,-3.499,-39.584
2304202,Crato,-7.215,-39.41
3503307,Araras,-22.357,-47.384
4101408,Apucarana,-23.55,-51.464
3300209,Araruama,-22.87,-42.333
3304201,Resende,-22.47,-44.451
3156700,Sabará,-19.884,-43.826
3171204,Vespasiano,-19.688,-43.924
3557006,Votorantim,-23.545,-47.439
4119152,Pinhais,-25.443,-49.193
3551702,Sertãozinho,-21.132,-47.988
1501303,Barcarena,-1.512,-48.62
3556206,Valinhos,-22.97,-46.997
1500602,Altamira,-3.204,-52.21
3105608,Barbacena,-21.221,-43.77
3202405,Guarapari,-20.677,-40.509
1100122,Ji-Paraná,-10.878,-61.932
3554003,Tatuí,-23.349,-47.846
3204906,São Mateus,-18.721,-39.858
1503606,Itaituba,-4.267,-55.993
4302105,Bento Gonçalves,-29.166,-51.516
1501709,Bragança,-1.061,-46.783
3505500,Barretos,-20.553,-48.57
3523404,Itatiba,-23.004,-46.846
3201506,Colatina,-19.549,-40.627
4100400,Almirante Tamandaré,-25.319,-49.304
4101507,Arapongas,-23.415,-51.426
3506508,Birigui,-21.291,-50.343
4119509,Piraquara,-25.442,-49.062
4126256,Sarandi,-23.444,-51.876
3525003,Jandira,-23.528,-46.902
3518404,Guaratinguetá,-22.808,-45.194
4301602,Bagé,-31.33,-54.1
3103504,Araguari,-18.646,-48.193
4322400,Uruguaiana,-29.761,-57.085
4128104,Umuarama,-23.766,-53.32
3302007,Itaguaí,-22.864,-43.78
5208004,Formosa,-15.54,-47.337
2412005,São Gonçalo do Amarante,-5.791,-35.326
3511102,Catanduva,-21.131,-48.977
3556503,Várzea Paulista,-23.214,-46.823
3543303,Ribeirão Pires,-23.707,-46.406
2606804,Igarassu,-7.829,-34.901
2930709,Simões Filho,-12.787,-38.403
5205109,Catalão,-18.166,-47.944
2103307,Codó,-4.456,-43.892
2910727,Eunápolis,-16.372,-39.582
3131703,Itabira,-19.624,-43.231
2924009,Paulo Afonso,-9.398,-38.222
3522109,Itanhaém,-24.174,-46.788
3513504,Cubatão,-23.891,-46.424
3147907,Passos,-20.719,-46.609
1504422,Marituba,-1.36,-48.342
3144805,Nova Lima,-19.976,-43.851
3104007,Araxá,-19.59,-46.944
2613701,São Lourenço da Mata,-8.007,-35.012
5107925,Sorriso,-12.542,-55.721
3536505,Paulínia,-22.754,-47.149
4218707,Tubarão,-28.471,-49.014
5211503,Itumbiara,-18.409,-49.216
2919553,Luís Eduardo Magalhães,-12.096,-45.787
1600600,Santana,-0.045,-51.173
4103701,Cambé,-23.277,-51.28
1501808,Breves,-1.68,-50.479
2100055,Açailândia,-4.947,-47.5
5107958,Tangará da Serra,-14.623,-57.493
5211909,Jataí,-17.878,-51.72
4307005,Erechim,-27.636,-52.27
3145208,Nova Serrana,-19.871,-44.985
1505502,Paragominas,-3.002,-47.353
2307700,Maranguape,-3.891,-38.683
5217609,Planaltina,-15.452,-47.609
3138203,Lavras,-21.248,-45.001
3119401,Coronel Fabriciano,-19.518,-42.628
3143906,Muriaé,-21.13,-42.369
3305208,São Pedro da Aldeia,-22.843,-42.103
3534708,Ourinhos,-22.98,-49.87
5215231,Novo Gama,-16.059,-48.042
